Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.6230E+03 .1493E+01 .1282E+00 .8876E+00 .7777E+01 .1682E+01
.6240E+03 .1523E+01 .1302E+00 .8909E+00 .7942E+01 .1709E+01
.6250E+03 .1485E+01 .1265E+00 .8951E+00 .7756E+01 .1658E+01
.6260E+03 .1485E+01 .1257E+00 .8959E+00 .7769E+01 .1657E+01
.6270E+03 .1519E+01 .1274E+00 .8939E+00 .7963E+01 .1700E+01
.6280E+03 .1470E+01 .1186E+00 .8617E+00 .7716E+01 .1706E+01
.6290E+03 .1522E+01 .1245E+00 .8836E+00 .8001E+01 .1722E+01
.6300E+03 .1467E+01 .1192E+00 .8834E+00 .7727E+01 .1661E+01
.6310E+03 .1533E+01 .1250E+00 .8952E+00 .8084E+01 .1712E+01
.6320E+03 .1433E+01 .1164E+00 .8980E+00 .7573E+01 .1596E+01
.6330E+03 .1538E+01 .1246E+00 .9040E+00 .8137E+01 .1701E+01
.6340E+03 .1494E+01 .1207E+00 .9080E+00 .7920E+01 .1646E+01
.6350E+03 .1522E+01 .1222E+00 .9097E+00 .8079E+01 .1673E+01
.6360E+03 .1471E+01 .1175E+00 .9115E+00 .7821E+01 .1614E+01
.6370E+03 .1523E+01 .1209E+00 .9126E+00 .8110E+01 .1669E+01
.6380E+03 .1529E+01 .1208E+00 .9151E+00 .8154E+01 .1671E+01
.6390E+03 .1535E+01 .1206E+00 .9169E+00 .8201E+01 .1674E+01
.6400E+03 .1486E+01 .1161E+00 .9189E+00 .7950E+01 .1617E+01
.6410E+03 .1490E+01 .1157E+00 .9203E+00 .7984E+01 .1619E+01
.6420E+03 .1483E+01 .1145E+00 .9218E+00 .7957E+01 .1609E+01
.6430E+03 .1507E+01 .1156E+00 .9220E+00 .8102E+01 .1635E+01
.6440E+03 .1506E+01 .1148E+00 .9234E+00 .8105E+01 .1631E+01
.6450E+03 .1507E+01 .1140E+00 .9229E+00 .8126E+01 .1633E+01
.6460E+03 .1472E+01 .1102E+00 .9188E+00 .7947E+01 .1602E+01
.6470E+03 .1481E+01 .1093E+00 .9107E+00 .8011E+01 .1626E+01
.6480E+03 .1460E+01 .1066E+00 .9051E+00 .7910E+01 .1613E+01
.6490E+03 .1468E+01 .1065E+00 .9061E+00 .7965E+01 .1620E+01
.6500E+03 .1394E+01 .1016E+00 .9192E+00 .7574E+01 .1517E+01
.6510E+03 .1504E+01 .1091E+00 .9228E+00 .8184E+01 .1630E+01
.6520E+03 .1440E+01 .1024E+00 .9055E+00 .7850E+01 .1590E+01
.6530E+03 .1483E+01 .1062E+00 .9223E+00 .8095E+01 .1608E+01
.6540E+03 .1490E+01 .1061E+00 .9246E+00 .8147E+01 .1612E+01
.6550E+03 .1428E+01 .1003E+00 .9159E+00 .7819E+01 .1559E+01
.6560E+03 .1214E+01 .8510E-01 .9224E+00 .6657E+01 .1316E+01
.6570E+03 .1290E+01 .8984E-01 .9221E+00 .7087E+01 .1399E+01
.6580E+03 .1434E+01 .9942E-01 .9252E+00 .7886E+01 .1550E+01
.6590E+03 .1440E+01 .9925E-01 .9265E+00 .7934E+01 .1554E+01
.6600E+03 .1443E+01 .9852E-01 .9240E+00 .7959E+01 .1561E+01
.6610E+03 .1441E+01 .9720E-01 .9184E+00 .7960E+01 .1569E+01
.6620E+03 .1449E+01 .9647E-01 .9114E+00 .8018E+01 .1590E+01
.6630E+03 .1443E+01 .9582E-01 .9155E+00 .8000E+01 .1577E+01
.6640E+03 .1435E+01 .9537E-01 .9242E+00 .7964E+01 .1552E+01
.6650E+03 .1455E+01 .9658E-01 .9298E+00 .8090E+01 .1565E+01
.6660E+03 .1468E+01 .9712E-01 .9339E+00 .8171E+01 .1571E+01
.6670E+03 .1453E+01 .9576E-01 .9372E+00 .8099E+01 .1550E+01
.6680E+03 .1450E+01 .9515E-01 .9395E+00 .8097E+01 .1544E+01
.6690E+03 .1471E+01 .9596E-01 .9407E+00 .8224E+01 .1563E+01
.6700E+03 .1451E+01 .9412E-01 .9417E+00 .8125E+01 .1540E+01
.6710E+03 .1439E+01 .9283E-01 .9425E+00 .8074E+01 .1527E+01
